H,april,sept,total,vs_a,time
1,25.027,42.1469,67.1739,74.7439,28.54376482963562
4,23.2017,40.2486,63.4503,71.02029999999999,31.745756149291992
8,10.1392,29.5775,39.7167,47.2867,31.214831829071045
16,-1.65,18.6263,16.9763,24.5463,30.824729681015015
24,-7.0064,13.1118,6.1054,13.6754,35.11327648162842
48,-19.023,2.1576,-16.8654,-9.2954,52.86083149909973
96,-19.738,0.665,-19.073,-11.503,103.79606628417969
192,-20.3489,-1.2657,-21.6146,-14.044599999999999,171.74808812141418
288,-20.8243,-1.1797,-22.004,-14.434000000000001,294.9840450286865
672,-20.8919,-1.2624,-22.1543,-14.584299999999999,713.3027124404907
